top - 22:42:26 up  8:05,  1 user,  load average: 0.27, 0.46, 0.60
Tasks: 481 total, 2 running, 479 sleep, 0 d-sleep, 0 stopped, 0 zombie
%Cpu(s):  0.6 us,  2.0 sy,  3.7 ni, 93.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  43913.1 total,  13283.7 free,  11714.1 used,  19639.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  32199.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     86 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.10 ksoftir+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     90 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     92 root      rt   0       0      0      0 S   0.0   0.0   0:00.63 migrati+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     98 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migrati+
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftir+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    104 root      rt   0       0      0      0 S   0.0   0.0   0:01.61 migrati+
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.11 ksoftir+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    109 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    110 root      rt   0       0      0      0 S   0.0   0.0   0:00.74 migrati+
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftir+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    116 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
    117 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
    118 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.10 khungta+
    120 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    123 root      20   0       0      0      0 S   0.0   0.0   0:04.01 kcompac+
    124 root      20   0       0      0      0 S   0.0   0.0   0:00.47 kcompac+
    125 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    126 root      39  19       0      0      0 S   0.0   0.0   0:01.02 khugepa+
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    130 root     -51   0       0      0      0 S   0.0   0.0   0:00.12 irq/9-a+
    134 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    139 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    141 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
    142 root      20   0       0      0      0 S   0.0   0.0   0:01.40 kswapd0
    143 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd1
