top - 22:42:26 up  8:05,  1 user,  load average: 0.27, 0.46, 0.60
Tasks: 481 total, 2 running, 479 sleep, 0 d-sleep, 0 stopped, 0 zombie
%Cpu(s):  0.6 us,  2.0 sy,  3.7 ni, 93.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  43913.1 total,  13283.7 free,  11714.1 used,  19639.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  32199.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1692 art207    20   0  169452   7608   6780 S   0.0   0.0   0:00.60 gvfsd-m+
   1707 art207    20   0  166492   7556   6052 S   0.0   0.0   0:00.44 dconf-s+
   1875 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1876 art207    20   0  897688  15248  12580 S   0.0   0.0   0:00.04 gvfsd-t+
   2712 art207    20   0  400920  12088  10668 S   0.0   0.0   0:00.00 gsd-pri+
   2741 art207    20   0  254924  17324  14824 S   0.0   0.0   0:00.09 gsd-xse+
   2759 art207    20   0  750524  54748  46792 S   0.0   0.1   0:00.05 ibus-x11
   2765 art207    20   0 1676108 169412 105596 S   0.0   0.4   0:03.51 mutter-+
   2768 art207    20   0  570940  29272  17248 S   0.0   0.1   0:01.57 gvfsd-h+
   2956 art207    20   0   50.3g 188184 113616 S   0.0   0.4   6:11.12 spotify
   2959 art207    20   0 1483096 179748 126880 S   0.0   0.4   0:08.95 spotify
   3152 art207    20   0   49.3g  98020  34684 S   0.0   0.2   0:00.35 spotify
   3444 art207    20   0 1393.6g 554504 149996 S   0.0   1.2   7:39.77 spotify
   4334 art207    20   0  534504  34612  27424 S   0.0   0.1   0:00.37 xdg-des+
   5359 art207    20   0   81.2g 121988  42548 S   0.0   0.3   0:00.63 spotify
  10154 art207    20   0   50268   8540   7840 S   0.0   0.0   0:00.00 obexd
  16098 art207    20   0 4356688 804508 316112 S   0.0   1.8   9:33.53 firefox
  16107 art207    20   0  151656   3424   2888 S   0.0   0.0   0:00.00 crashhe+
  16165 art207    20   0  414780  51436  41092 S   0.0   0.1   0:00.13 Socket +
  16212 art207    20   0  500616  35624  26280 S   0.0   0.1   0:00.09 forkser+
  16549 art207    20   0 2658712  91900  73748 S   0.0   0.2   0:13.14 Privile+
  16558 art207    20   0 1237808 133636 104060 S   0.0   0.3   1:23.76 RDD Pro+
  16767 art207    20   0 2878788 282584 129708 S   0.0   0.6   0:33.09 Isolate+
  16777 art207    20   0 3462204 769044 143032 S   0.0   1.7  10:21.79 Isolate+
  16922 art207    20   0  755408  58956  41000 S   0.0   0.1   0:43.43 Utility+
  16968 art207    20   0 2880204 260724 124660 S   0.0   0.6   0:29.22 Isolate+
  21255 art207    20   0   53.1g 325252 231080 S   0.0   0.7   2:12.45 chromium
  21260 art207    20   0   52.0g   4752   4396 S   0.0   0.0   0:00.00 chrome_+
  21262 art207    20   0   52.0g   4188   3868 S   0.0   0.0   0:00.00 chrome_+
  21270 art207    20   0   52.7g  51064  33372 S   0.0   0.1   0:00.02 chromium
  21271 art207    20   0   52.7g  52252  32708 S   0.0   0.1   0:00.02 chromium
  21273 art207    20   0   52.7g  25676   6036 S   0.0   0.1   0:00.01 chromium
  21304 art207    20   0   53.3g 214424 138408 S   0.0   0.5   0:15.69 chromium
  21306 art207    20   0   52.6g  90360  66564 S   0.0   0.2   0:05.29 chromium
  21318 art207    20   0   52.8g  57120  36008 S   0.0   0.1   0:01.11 chromium
  21329 art207    20   0 1448.4g 161332 114660 S   0.0   0.4   0:00.74 chromium
  21340 art207    20   0 1450.3g 145292  91764 S   0.0   0.3   0:51.29 chromium
  21352 art207    20   0 1473.0g 556488 165836 S   0.0   1.2   5:15.48 chromium
  21412 art207    20   0 1448.3g  81644  56008 S   0.0   0.2   0:00.24 chromium
  21424 art207    20   0 1450.2g 101340  71248 S   0.0   0.2   0:00.65 chromium
  21439 art207    20   0 1068420  86944  71448 S   0.0   0.2   0:00.15 plasma-+
  21782 art207    20   0   53.3g 530316 302372 S   0.0   1.2  23:47.86 chromium
  21785 art207    20   0   52.0g   4708   4352 S   0.0   0.0   0:00.00 chrome_+
  21787 art207    20   0   52.0g   4056   3736 S   0.0   0.0   0:00.00 chrome_+
  21795 art207    20   0   52.7g  52196  34504 S   0.0   0.1   0:00.02 chromium
  21796 art207    20   0   52.7g  54500  34932 S   0.0   0.1   0:00.02 chromium
  21798 art207    20   0   52.7g  25712   6040 S   0.0   0.1   0:00.63 chromium
  21828 art207    20   0   53.4g 246416 153780 S   0.0   0.5  24:04.74 chromium
  21830 art207    20   0   52.6g 111384  72380 S   0.0   0.2   3:43.02 chromium
  21843 art207    20   0   52.8g  61276  37176 S   0.0   0.1   0:05.72 chromium
  21857 art207    20   0 1448.4g 199664 125884 S   0.0   0.4   0:17.62 chromium
  21896 art207    20   0 1450.3g 162116 113088 S   0.0   0.4   1:11.74 chromium
  21978 art207    20   0 1450.3g 124800  88404 S   0.0   0.3   0:05.34 chromium
  22006 art207    20   0 1068760  87744  72436 S   0.0   0.2   0:00.40 plasma-+
  22103 art207    20   0 1448.5g 311872 156088 S   0.0   0.7   3:33.33 chromium
  22135 art207    20   0 1450.3g 459316 124124 S   0.0   1.0   5:38.36 chromium
  22181 art207    20   0   52.6g  60076  43680 S   0.0   0.1   0:02.08 chromium
  22208 art207    20   0 1448.4g 175240 118768 S   0.0   0.4   0:18.54 chromium
  22222 art207    20   0 1448.5g 392900 156128 S   0.0   0.9   3:34.99 chromium
  22235 art207    20   0 1448.4g 205512 107508 S   0.0   0.5   1:33.91 chromium
  22265 art207    20   0 1448.4g 280332 145708 S   0.0   0.6   3:51.81 chromium
  28254 art207    20   0 1454.1g 390436 159212 S   0.0   0.9   2:17.77 chromium
  29290 art207    20   0  479428  13968  11904 S   0.0   0.0   0:00.01 gvfsd-n+
  30112 art207    20   0 1736252 246196 145540 S   0.0   0.5   0:39.24 nautilus
  30148 art207    20   0  405536  13860  11600 S   0.0   0.0   0:00.03 gvfsd-r+
  30225 art207    20   0    3308   2312   2180 S   0.0   0.0   0:00.00 bwrap
  30226 art207    20   0    3308   1352   1204 S   0.0   0.0   0:00.00 bwrap
  30227 art207    20   0  145652   8436   6336 S   0.0   0.0   0:00.23 glycin-+
  31957 art207    20   0   52.5g  59812  43472 S   0.0   0.1   0:01.36 chromium
  33449 art207    20   0    3308   2320   2188 S   0.0   0.0   0:00.01 bwrap
  33451 art207    20   0    3308   1352   1204 S   0.0   0.0   0:00.00 bwrap
  33452 art207    20   0  145652  36912   6176 S   0.0   0.1   0:00.92 glycin-+
  35189 root      20   0       0      0      0 I   0.0   0.0   0:00.71 kworker+
  35937 art207    20   0  675028  50580  38312 S   0.0   0.1   0:03.37 kactivi+
  42006 root      20   0       0      0      0 I   0.0   0.0   0:00.15 kworker+
  42940 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
  44763 art207    20   0 1448.5g 460044 161112 S   0.0   1.0  22:08.70 chromium
  46308 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  46984 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  48967 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
  52356 root      20   0       0      0      0 I   0.0   0.0   0:10.05 kworker+
  54451 art207    20   0 1448.4g 126396  97176 S   0.0   0.3   0:01.19 chromium
  54534 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  54583 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
  54905 art207    20   0 1448.4g 154272 116196 S   0.0   0.3   0:01.67 chromium
  54918 art207    20   0 1450.3g 186244 108348 S   0.0   0.4   0:06.51 chromium
  56518 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
  56520 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
  56523 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
  56524 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
  56525 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
  56527 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
  57152 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
  57190 root      20   0       0      0      0 I   0.0   0.0   0:06.63 kworker+
  57391 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker+
  58004 art207    20   0 2671900 100264  79224 S   0.0   0.2   0:01.20 Isolate+
  58049 art207    20   0 2658512  84984  65424 S   0.0   0.2   0:01.92 Web Con+
  58104 art207    20   0 2658512  84972  65452 S   0.0   0.2   0:01.88 Web Con+
  58163 art207    20   0 2658512  83016  65456 S   0.0   0.2   0:01.85 Web Con+
  58200 root      20   0       0      0      0 I   0.0   0.0   0:04.80 kworker+
  58220 art207    20   0 1448.4g 167636 119968 S   0.0   0.4   0:07.54 chromium
  58236 root      20   0       0      0      0 I   0.0   0.0   0:03.74 kworker+
  58237 root      20   0       0      0      0 I   0.0   0.0   0:05.53 kworker+
  58275 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  58309 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  58437 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
  58603 root      20   0       0      0      0 I   0.0   0.0   0:03.80 kworker+
  58958 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  59364 root      20   0       0      0      0 R   0.0   0.0   0:02.45 kworker+
  59540 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  59611 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
  59628 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
  60016 root      20   0       0      0      0 I   0.0   0.0   0:02.71 kworker+
  60149 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  60163 root      20   0       0      0      0 I   0.0   0.0   0:02.09 kworker+
  60166 root      20   0       0      0      0 I   0.0   0.0   0:02.48 kworker+
  60183 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  60906 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  60916 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
  60922 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
  60964 root      20   0       0      0      0 I   0.0   0.0   0:01.91 kworker+
  61025 root      20   0       0      0      0 I   0.0   0.0   0:01.98 kworker+
  61040 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  61052 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
  61187 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
  61290 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
  61313 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  61468 root      20   0       0      0      0 I   0.0   0.0   0:02.47 kworker+
  61506 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  61507 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  61509 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  61510 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  61511 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  61530 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  61851 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  61874 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62048 art207    20   0 1488.0g 378304 150228 S   0.0   0.8   0:15.43 chromium
  62078 art207    20   0 1448.3g  82988  56824 S   0.0   0.2   0:00.05 chromium
  62135 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62142 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62211 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62219 root      20   0    9664   5408   4796 S   0.0   0.0   0:00.00 systemd+
  62703 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62705 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62712 art207    20   0 1233948 175472 112304 S   0.0   0.4   0:00.62 kitty
  62723 art207    20   0 2100736  30412  17876 S   0.0   0.1   0:00.01 kitten
  62730 art207    20   0   13828  10112   5504 S   0.0   0.0   0:00.69 zsh
  62734 art207    20   0 2101008  32776  17860 S   0.0   0.1   0:00.01 kitten
  62751 art207    20   0   10912   4372   2152 S   0.0   0.0   0:00.00 zsh
  62768 art207    20   0   12984   5736   1928 S   0.0   0.0   0:00.00 zsh
  62769 art207    20   0   12968   5456   1656 S   0.0   0.0   0:00.00 zsh
  62771 art207    20   0  270520   5356   4852 S   0.0   0.0   0:00.00 gitstat+
  62824 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  62988 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  63030 root      20   0    9664   4788   4192 S   0.0   0.0   0:00.00 systemd+
  63076 root      20   0    9664   4836   4236 S   0.0   0.0   0:00.00 systemd+
  63082 art207    20   0    8068   4128   3804 S   0.0   0.0   0:00.00 PT-1-v2+
  63087 art207    20   0    6052   2448   2328 S   0.0   0.0   0:00.00 tee

